TF (regulator),Gene (target)
FOXN2,AC107218.3
KLF6,AC107218.3
PLEK,AC107218.3
ZNF683,AC107218.3
HOPX,AC107218.3
JUN,AC110771.1
JUNB,AC110771.1
BBX,AC110771.1
PLEK,AC110771.1
ID2,AC110771.1
ARID2,AC110771.1
CEBPD,AC110771.1
LYAR,AC110771.1
FOS,AC110771.1
ASCL2,AC110771.1
DNAJC1,AC110771.1
KLF6,AC110771.1
MYBL1,AC110771.1
GABPA,AC110771.1
HOPX,AC110771.1
BATF,AC137932.1
RUNX3,AC137932.1
JUN,AC137932.1
JUNB,AC137932.1
BBX,AC137932.1
ID2,AC137932.1
CEBPD,AC137932.1
LEF1,AC137932.1
LYAR,AC137932.1
MAFG,AC137932.1
FOSB,AC137932.1
HIVEP3,AC137932.1
KLF6,AC137932.1
ZNF684,AC137932.1
HOPX,AC137932.1
BATF,AC195454.1
BAZ2A,AC195454.1
JUN,AC195454.1
JUNB,AC195454.1
BBX,AC195454.1
ID2,AC195454.1
LEF1,AC195454.1
LYAR,AC195454.1
FOS,AC195454.1
FOSB,AC195454.1
DNAJC1,AC195454.1
MTA1,AC195454.1
ATF6,AC195454.1
KLF6,AC195454.1
YEATS4,AC195454.1
RUNX3,ACSM1
JUN,ACSM1
JUNB,ACSM1
BBX,ACSM1
ID2,ACSM1
ARID5B,ACSM1
ZNF234,ACSM1
LYAR,ACSM1
ZNF320,ACSM1
FOSB,ACSM1
DNAJC1,ACSM1
FOXN2,ACSM1
FOS,ACSM1
PLEK,ACSM1
ZBTB38,ACSM1
BATF,ACTB
JUN,ACTB
JUNB,ACTB
BBX,ACTB
ID2,ACTB
ID3,ACTB
MLXIP,ACTB
LEF1,ACTB
AHCTF1,ACTB
WDHD1,ACTB
ASCL2,ACTB
FOS,ACTB
PLEK,ACTB
ZNF683,ACTB
HOPX,ACTB
BATF,ACTG1
JUN,ACTG1
JUNB,ACTG1
POU5F2,ACTG1
ARID5B,ACTG1
CEBPD,ACTG1
LEF1,ACTG1
LYAR,ACTG1
FOS,ACTG1
ASCL2,ACTG1
DNAJC1,ACTG1
ZNF470,ACTG1
PLEK,ACTG1
ZNF683,ACTG1
HOPX,ACTG1
BATF,AD000671.6
RUNX3,AD000671.6
JUN,AD000671.6
JUNB,AD000671.6
BBX,AD000671.6
ID2,AD000671.6
ARID5B,AD000671.6
LYAR,AD000671.6
FOS,AD000671.6
DNAJC1,AD000671.6
ATF6,AD000671.6
KLF6,AD000671.6
PLEK,AD000671.6
ZNF683,AD000671.6
HOPX,AD000671.6
PURA,ADAM15
ZNF773,ADAM15
ZNF805,ADAM15
JUNB,ADAM15
JUN,ADAM15
ZSCAN29,ADAM15
ID2,ADAM15
ID3,ADAM15
ZFHX2,ADAM15
LYAR,ADAM15
ZNF277,ADAM15
MAFB,ADAM15
PLEK,ADAM15
ZNF683,ADAM15
HOPX,ADAM15
BATF,ADAM28
BAZ2A,ADAM28
JUN,ADAM28
JUNB,ADAM28
RUNX3,ADAM28
ID2,ADAM28
ARID5B,ADAM28
ARNT,ADAM28
ZNF277,ADAM28
FOS,ADAM28
KLF6,ADAM28
GRHL1,ADAM28
PLEK,ADAM28
ZNF683,ADAM28
HOPX,ADAM28
BATF,ADPRH
RUNX3,ADPRH
JUN,ADPRH
JUNB,ADPRH
ZSCAN2,ADPRH
MLXIP,ADPRH
ID3,ADPRH
ARID5B,ADPRH
CEBPD,ADPRH
LYAR,ADPRH
FOSB,ADPRH
KLF6,ADPRH
PLEK,ADPRH
GABPA,ADPRH
HOPX,ADPRH
JUN,AE000662.92
JUNB,AE000662.92
ZSCAN2,AE000662.92
CEBPD,AE000662.92
LEF1,AE000662.92
LYAR,AE000662.92
FOS,AE000662.92
ASCL2,AE000662.92
FOSB,AE000662.92
FOXN2,AE000662.92
DNAJC1,AE000662.92
ATF6,AE000662.92
KLF6,AE000662.92
YEATS4,AE000662.92
HOPX,AE000662.92
BATF,AF131215.5
PURA,AF131215.5
JUN,AF131215.5
JUNB,AF131215.5
BBX,AF131215.5
ID2,AF131215.5
CEBPD,AF131215.5
FOS,AF131215.5
DNAJC1,AF131215.5
ZBTB38,AF131215.5
KLF6,AF131215.5
MYBL1,AF131215.5
PLEK,AF131215.5
MYSM1,AF131215.5
HOPX,AF131215.5
BAZ2A,AFAP1L1
JUN,AFAP1L1
JUNB,AFAP1L1
BBX,AFAP1L1
ID2,AFAP1L1
ARID5B,AFAP1L1
CEBPD,AFAP1L1
LEF1,AFAP1L1
LYAR,AFAP1L1
FOS,AFAP1L1
DNAJC1,AFAP1L1
FOSB,AFAP1L1
KLF6,AFAP1L1
PLEK,AFAP1L1
HOPX,AFAP1L1
JUN,AIF1
JUNB,AIF1
ID2,AIF1
MLXIP,AIF1
TCF12,AIF1
CEBPD,AIF1
LEF1,AIF1
LYAR,AIF1
MAFB,AIF1
FOS,AIF1
FOSB,AIF1
KLF6,AIF1
PLEK,AIF1
HMGB3,AIF1
HOPX,AIF1
JUN,AKAP10
JUNB,AKAP10
BBX,AKAP10
ZSCAN29,AKAP10
ID2,AKAP10
ARID2,AKAP10
ARID5B,AKAP10
CEBPD,AKAP10
LYAR,AKAP10
ZNF277,AKAP10
FOS,AKAP10
MTA1,AKAP10
ZNF683,AKAP10
MYSM1,AKAP10
HOPX,AKAP10
BATF,AKAP13
JUN,AKAP13
JUNB,AKAP13
ID2,AKAP13
CEBPD,AKAP13
LYAR,AKAP13
NR4A1,AKAP13
ASCL2,AKAP13
DNAJC1,AKAP13
ZNF470,AKAP13
ZBTB38,AKAP13
ZNF547,AKAP13
ZNF562,AKAP13
PLEK,AKAP13
HOPX,AKAP13
JUN,AL928768.3
JUNB,AL928768.3
ZSCAN2,AL928768.3
BBX,AL928768.3
ID3,AL928768.3
CEBPD,AL928768.3
LEF1,AL928768.3
LYAR,AL928768.3
ASCL2,AL928768.3
DNAJC1,AL928768.3
FOXK1,AL928768.3
ZBTB38,AL928768.3
PLEK,AL928768.3
MYSM1,AL928768.3
HOPX,AL928768.3
BATF,ALDH4A1
JUN,ALDH4A1
JUNB,ALDH4A1
BBX,ALDH4A1
ID2,ALDH4A1
ID3,ALDH4A1
ZNF234,ALDH4A1
LYAR,ALDH4A1
ZNF277,ALDH4A1
FOS,ALDH4A1
ASCL2,ALDH4A1
DNAJC1,ALDH4A1
KLF6,ALDH4A1
PKNOX1,ALDH4A1
HOPX,ALDH4A1
JUN,ALOX12B
JUNB,ALOX12B
ID2,ALOX12B
ID3,ALOX12B
ARID5B,ALOX12B
CEBPD,ALOX12B
LYAR,ALOX12B
FOS,ALOX12B
ASCL2,ALOX12B
FOSB,ALOX12B
DNAJC1,ALOX12B
KLF6,ALOX12B
GABPA,ALOX12B
ZNF683,ALOX12B
HOPX,ALOX12B
BATF,ALOX5
JUN,ALOX5
JUNB,ALOX5
BBX,ALOX5
ID2,ALOX5
ARID5B,ALOX5
CEBPD,ALOX5
LYAR,ALOX5
FOS,ALOX5
FOSB,ALOX5
DNAJC1,ALOX5
KLF6,ALOX5
PLEK,ALOX5
ZNF683,ALOX5
HOPX,ALOX5
BATF,ALOXE3
PURA,ALOXE3
JUN,ALOXE3
JUNB,ALOXE3
ID2,ALOXE3
CEBPD,ALOXE3
LEF1,ALOXE3
LYAR,ALOXE3
FOS,ALOXE3
FOSB,ALOXE3
FOXN2,ALOXE3
KLF6,ALOXE3
PLEK,ALOXE3
MYSM1,ALOXE3
HOPX,ALOXE3
BAZ2A,ALS2CR12
JUN,ALS2CR12
JUNB,ALS2CR12
ID2,ALS2CR12
MLXIP,ALS2CR12
ARID2,ALS2CR12
ARID5B,ALS2CR12
LEF1,ALS2CR12
LYAR,ALS2CR12
FOS,ALS2CR12
DNAJC1,ALS2CR12
MTA1,ALS2CR12
KLF6,ALS2CR12
HOPX,ALS2CR12
ZNF737,ALS2CR12
PURA,ANKEF1
JUN,ANKEF1
JUNB,ANKEF1
ID3,ANKEF1
CEBPD,ANKEF1
LEF1,ANKEF1
LYAR,ANKEF1
ZNF277,ANKEF1
FOS,ANKEF1
FOSB,ANKEF1
DNAJC1,ANKEF1
FOXN2,ANKEF1
KLF6,ANKEF1
PKNOX1,ANKEF1
GABPA,ANKEF1
ZNF773,ANKRD10
BAZ2A,ANKRD10
JUNB,ANKRD10
ZFHX2,ANKRD10
ID2,ANKRD10
ID3,ANKRD10
TCF12,ANKRD10
LYAR,ANKRD10
MAFB,ANKRD10
FOS,ANKRD10
HIVEP3,ANKRD10
FOXN2,ANKRD10
KLF6,ANKRD10
PLEK,ANKRD10
ZNF683,ANKRD10
BATF,ANKRD45
RUNX3,ANKRD45
JUN,ANKRD45
JUNB,ANKRD45
ZSCAN2,ANKRD45
ID2,ANKRD45
ARID5B,ANKRD45
CEBPD,ANKRD45
LYAR,ANKRD45
FOS,ANKRD45
DNAJC1,ANKRD45
KLF6,ANKRD45
YEATS4,ANKRD45
ZNF683,ANKRD45
HOPX,ANKRD45
BATF,ANKRD50
JUN,ANKRD50
JUNB,ANKRD50
ID2,ANKRD50
ARID5B,ANKRD50
CEBPD,ANKRD50
LYAR,ANKRD50
FOS,ANKRD50
FOSB,ANKRD50
DNAJC1,ANKRD50
ZBTB38,ANKRD50
KLF6,ANKRD50
PLEK,ANKRD50
ZNF683,ANKRD50
HOPX,ANKRD50
BATF,ANPEP
PURA,ANPEP
JUN,ANPEP
JUNB,ANPEP
BBX,ANPEP
ID2,ANPEP
CEBPD,ANPEP
LEF1,ANPEP
LYAR,ANPEP
FOS,ANPEP
FOSB,ANPEP
KLF6,ANPEP
PLEK,ANPEP
ZNF683,ANPEP
HOPX,ANPEP
JUN,AOAH
JUNB,AOAH
BBX,AOAH
ID2,AOAH
ZNF143,AOAH
LEF1,AOAH
LYAR,AOAH
ASCL2,AOAH
FOSB,AOAH
FOXN2,AOAH
ZBTB38,AOAH
KLF6,AOAH
PLEK,AOAH
ZNF683,AOAH
HOPX,AOAH
BAZ2A,AP000442.1
JUN,AP000442.1
JUNB,AP000442.1
BBX,AP000442.1
RUNX3,AP000442.1
ID2,AP000442.1
ID3,AP000442.1
CEBPD,AP000442.1
LEF1,AP000442.1
ZNF234,AP000442.1
LYAR,AP000442.1
FOS,AP000442.1
FOXK1,AP000442.1
KLF6,AP000442.1
HOPX,AP000442.1
JUN,AP000487.5
SNAI3,AP000487.5
JUNB,AP000487.5
BBX,AP000487.5
ID2,AP000487.5
ARID5B,AP000487.5
LEF1,AP000487.5
LYAR,AP000487.5
ZNF277,AP000487.5
FOS,AP000487.5
ASCL2,AP000487.5
DNAJC1,AP000487.5
KLF6,AP000487.5
YEATS4,AP000487.5
ZNF683,AP000487.5
BATF,AP001059.5
JUN,AP001059.5
JUNB,AP001059.5
ID2,AP001059.5
ARID2,AP001059.5
CEBPD,AP001059.5
LYAR,AP001059.5
ZNF277,AP001059.5
FOS,AP001059.5
FOSB,AP001059.5
DNAJC1,AP001059.5
KLF6,AP001059.5
PLEK,AP001059.5
ZNF683,AP001059.5
HOPX,AP001059.5
JUN,AP001372.2
JUNB,AP001372.2
POU5F2,AP001372.2
HOPX,AP001372.2
ID3,AP001372.2
LYAR,AP001372.2
THAP6,AP001372.2
FOS,AP001372.2
DNAJC1,AP001372.2
FOXN2,AP001372.2
KLF6,AP001372.2
YEATS4,AP001372.2
PLEK,AP001372.2
ZNF683,AP001372.2
ZNF710,AP001372.2
JUN,AP006621.8
JUNB,AP006621.8
BBX,AP006621.8
ID2,AP006621.8
ZNF143,AP006621.8
CEBPD,AP006621.8
LEF1,AP006621.8
LYAR,AP006621.8
FOS,AP006621.8
FOSB,AP006621.8
KLF6,AP006621.8
YEATS4,AP006621.8
PLEK,AP006621.8
ZNF683,AP006621.8
HOPX,AP006621.8
HOXA10,APLP2
GFI1B,APLP2
PURA,APLP2
JUNB,APLP2
ARID5B,APLP2
ZNF264,APLP2
ZNF277,APLP2
LYAR,APLP2
FOS,APLP2
DNAJC1,APLP2
FOXN2,APLP2
MTA1,APLP2
KLF6,APLP2
ZNF683,APLP2
HOPX,APLP2
JUN,APMAP
JUNB,APMAP
HOPX,APMAP
ID2,APMAP
MLXIP,APMAP
LEF1,APMAP
LYAR,APMAP
THAP6,APMAP
ASCL2,APMAP
HIVEP3,APMAP
FOXN2,APMAP
KLF6,APMAP
PLEK,APMAP
ZNF683,APMAP
ZNF710,APMAP
BAZ2A,APOBEC3C
JUN,APOBEC3C
JUNB,APOBEC3C
RUNX3,APOBEC3C
HOPX,APOBEC3C
ID2,APOBEC3C
ZNF142,APOBEC3C
ZNF143,APOBEC3C
SOX13,APOBEC3C
LYAR,APOBEC3C
FOXN2,APOBEC3C
KLF6,APOBEC3C
YEATS4,APOBEC3C
ZNF683,APOBEC3C
ZNF710,APOBEC3C
RUNX3,APOBEC3G
JUN,APOBEC3G
JUNB,APOBEC3G
ID2,APOBEC3G
ZNF155,APOBEC3G
LEF1,APOBEC3G
LYAR,APOBEC3G
FOS,APOBEC3G
ASCL2,APOBEC3G
DNAJC1,APOBEC3G
ZNF320,APOBEC3G
YEATS4,APOBEC3G
PLEK,APOBEC3G
ZNF683,APOBEC3G
HOPX,APOBEC3G
BATF,ARHGAP10
JUN,ARHGAP10
JUNB,ARHGAP10
ID2,ARHGAP10
CEBPD,ARHGAP10
LYAR,ARHGAP10
FOS,ARHGAP10
FOSB,ARHGAP10
FOXK1,ARHGAP10
DNAJC1,ARHGAP10
KLF6,ARHGAP10
PKNOX1,ARHGAP10
MYSM1,ARHGAP10
HOPX,ARHGAP10
ZNF737,ARHGAP10
BATF,ARHGEF26
JUN,ARHGEF26
JUNB,ARHGEF26
BBX,ARHGEF26
ID2,ARHGEF26
ID3,ARHGEF26
CEBPD,ARHGEF26
LEF1,ARHGEF26
LYAR,ARHGEF26
ZNF277,ARHGEF26
FOS,ARHGEF26
FOSB,ARHGEF26
KLF6,ARHGEF26
ZNF683,ARHGEF26
HOPX,ARHGEF26
BATF,ARHGEF28
ZNF773,ARHGEF28
JUN,ARHGEF28
JUNB,ARHGEF28
ID2,ARHGEF28
ID3,ARHGEF28
ARID5B,ARHGEF28
LYAR,ARHGEF28
FOS,ARHGEF28
ASCL2,ARHGEF28
ATF6,ARHGEF28
YEATS4,ARHGEF28
PLEK,ARHGEF28
ZNF683,ARHGEF28
HOPX,ARHGEF28
PURA,ARL10
BAZ2A,ARL10
JUN,ARL10
JUNB,ARL10
HOPX,ARL10
ID2,ARL10
LEF1,ARL10
AHCTF1,ARL10
LYAR,ARL10
FOS,ARL10
KLF6,ARL10
MYBL1,ARL10
ZNF683,ARL10
HMGB3,ARL10
ZNF710,ARL10
BATF,ARL6
RUNX3,ARL6
JUN,ARL6
JUNB,ARL6
E2F5,ARL6
ID2,ARL6
ARID5B,ARL6
LEF1,ARL6
LYAR,ARL6
FOS,ARL6
ASCL2,ARL6
DNAJC1,ARL6
KLF6,ARL6
PLEK,ARL6
HOPX,ARL6
BATF,ARL6IP6
HOXA9,ARL6IP6
JUN,ARL6IP6
JUNB,ARL6IP6
ID3,ARL6IP6
CASZ1,ARL6IP6
LEF1,ARL6IP6
LYAR,ARL6IP6
FOS,ARL6IP6
FOXN2,ARL6IP6
KLF6,ARL6IP6
YEATS4,ARL6IP6
IRF6,ARL6IP6
PLEK,ARL6IP6
HOPX,ARL6IP6
BATF,ARPP19
BAZ2A,ARPP19
JUN,ARPP19
JUNB,ARPP19
MIXL1,ARPP19
ZSCAN29,ARPP19
CASZ1,ARPP19
ARNT,ARPP19
LYAR,ARPP19
FOS,ARPP19
FOSB,ARPP19
FOXK1,ARPP19
HIVEP3,ARPP19
KLF6,ARPP19
HOPX,ARPP19
JUN,ARRDC5
SNAI3,ARRDC5
ID2,ARRDC5
MLXIP,ARRDC5
ARID5B,ARRDC5
LEF1,ARRDC5
AHCTF1,ARRDC5
LYAR,ARRDC5
FOS,ARRDC5
FOSB,ARRDC5
ZBTB38,ARRDC5
KLF6,ARRDC5
YEATS4,ARRDC5
PLEK,ARRDC5
HOPX,ARRDC5
JUNB,ARV1
TBX6,ARV1
ZNF143,ARV1
CEBPD,ARV1
LYAR,ARV1
ZNF277,ARV1
NR4A1,ARV1
FOS,ARV1
FOXK1,ARV1
MTA1,ARV1
KLF6,ARV1
GABPA,ARV1
MYSM1,ARV1
ZNF684,ARV1
HOPX,ARV1
BATF,ASCC1
RUNX3,ASCC1
JUN,ASCC1
JUNB,ASCC1
BBX,ASCC1
ID2,ASCC1
ZNF142,ASCC1
ZNF155,ASCC1
LYAR,ASCC1
MTA1,ASCC1
ZBTB38,ASCC1
KLF6,ASCC1
PLEK,ASCC1
ZNF683,ASCC1
HOPX,ASCC1
BAZ2A,ASGR2
JUN,ASGR2
JUNB,ASGR2
ZSCAN2,ASGR2
BBX,ASGR2
ID2,ASGR2
ARID2,ASGR2
LYAR,ASGR2
FOS,ASGR2
FOSB,ASGR2
MTA1,ASGR2
KLF6,ASGR2
PLEK,ASGR2
ZNF683,ASGR2
HOPX,ASGR2
BATF,ASMT
BAZ2A,ASMT
JUN,ASMT
JUNB,ASMT
ID2,ASMT
ID3,ASMT
ARID5B,ASMT
CEBPD,ASMT
LEF1,ASMT
